,selected_features
0,brake_q5
1,brake_acc_mean
2,brake_jerk_max
3,gas_acc_mean
4,gas_acc_q95
5,gas_jerk_max
6,gas_jerk_q5
7,gas_jerk_iqrange_5_95
8,gas_vel_std
9,gas_vel_iqrange
10,SteerSpeed_rms
11,SteerSpeed_acc_skewness
12,SteerSpeed_acc_rms
13,SteerSpeed_jerk_q5
14,SpeedDif_min
15,SpeedDif_q5
16,is_crossing_lane_right_kurtosis
17,lane_crossing_min
18,lane_crossing_q5
19,lane_crossing_iqrange
20,TtcOpp_peaks
21,TtcOpp_rms
22,acc_jerk_peaks
23,latvel_acc_mean
24,latvel_jerk_mean
25,latvel_jerk_q95
26,YawRate_jerk_mean
27,YawRate_peaks
