,selected_features
0,brake_min
1,brake_q5
2,brake_skewness
3,brake_acc_skewness
4,brake_vel_mean
5,steer_max
6,steer_kurtosis
7,SteerSpeed_acc_mean
8,SteerSpeed_acc_q5
9,SteerSpeed_acc_q95
10,SteerSpeed_acc_iqrange
11,SteerSpeed_acc_iqrange_5_95
12,SteerSpeed_jerk_iqrange
13,speed_limit_exceeded_min
14,speed_limit_exceeded_q5
15,speed_limit_exceeded_iqrange
16,speed_limit_exceeded_sum
17,speed_limit_exceeded_rms
18,SpeedDif_min
19,SpeedDif_q5
20,is_crossing_lane_left_rms
21,is_crossing_lane_right_q5
22,is_crossing_lane_right_peaks
23,lane_crossing_std
24,lane_crossing_q95
25,lane_crossing_iqrange_5_95
26,lane_crossing_rms
27,Ttc_peaks
28,TtcOpp_peaks
29,TtcOpp_rms
30,acc_jerk_peaks
31,velocity_kurtosis
32,velocity_peaks
33,latvel_acc_mean
34,latvel_jerk_q5
35,latvel_jerk_kurtosis
36,YawRate_acc_mean
37,YawRate_jerk_mean
38,YawRate_jerk_iqrange_5_95
39,YawRate_jerk_peaks
