,selected_features
0,brake_min
1,brake_q5
2,brake_acc_q95
3,brake_acc_peaks
4,brake_jerk_q95
5,brake_vel_max
6,brake_vel_q95
7,brake_vel_iqrange_5_95
8,gas_acc_mean
9,gas_acc_std
10,gas_acc_q5
11,gas_acc_iqrange
12,gas_acc_iqrange_5_95
13,gas_acc_rms
14,gas_vel_mean
15,gas_vel_std
16,gas_vel_kurtosis
17,gas_vel_rms
18,steer_kurtosis
19,steer_peaks
20,SteerSpeed_std
21,SteerSpeed_peaks
22,SteerSpeed_rms
23,SteerSpeed_acc_peaks
24,SteerSpeed_jerk_skewness
25,SteerSpeed_jerk_peaks
26,acc_max
27,acc_peaks
28,acc_jerk_min
29,acc_jerk_kurtosis
30,velocity_iqrange_5_95
31,latvel_acc_min
32,latvel_jerk_q5
33,latvel_jerk_iqrange_5_95
34,YawRate_acc_skewness
35,YawRate_acc_peaks
36,YawRate_kurtosis
37,YawRate_peaks
