,selected_features
0,brake_iqrange_5_95
1,brake_kurtosis
2,brake_acc_min
3,brake_acc_max
4,brake_acc_iqrange_5_95
5,brake_acc_kurtosis
6,brake_jerk_q5
7,brake_jerk_q95
8,brake_jerk_skewness
9,brake_vel_max
10,brake_vel_q95
11,brake_vel_iqrange
12,gas_acc_mean
13,gas_acc_q5
14,gas_vel_std
15,gas_vel_q95
16,gas_vel_iqrange
17,gas_vel_kurtosis
18,gas_vel_rms
19,steer_mean
20,SteerSpeed_std
21,SteerSpeed_min
22,SteerSpeed_peaks
23,SteerSpeed_rms
24,SteerSpeed_acc_mean
25,SteerSpeed_acc_peaks
26,SteerSpeed_jerk_q5
27,SteerSpeed_jerk_peaks
28,speed_limit_exceeded_std
29,speed_limit_exceeded_peaks
30,SpeedDif_min
31,SpeedDif_peaks
32,acc_jerk_min
33,acc_jerk_max
34,acc_jerk_kurtosis
35,velocity_std
36,velocity_iqrange
37,velocity_iqrange_5_95
38,latvel_acc_mean
39,latvel_acc_std
40,latvel_acc_min
41,latvel_acc_q95
42,latvel_acc_rms
43,latvel_jerk_q95
44,YawRate_acc_iqrange
45,YawRate_acc_peaks
46,YawRate_jerk_q5
47,YawRate_jerk_q95
48,YawRate_jerk_iqrange_5_95
49,YawRate_peaks
