,selected_features
0,brake_min
1,brake_q5
2,brake_jerk_q5
3,brake_vel_max
4,brake_vel_iqrange_5_95
5,gas_acc_mean
6,gas_acc_q5
7,gas_acc_iqrange
8,gas_vel_std
9,gas_vel_q95
10,gas_vel_kurtosis
11,gas_vel_rms
12,steer_kurtosis
13,SteerSpeed_std
14,SteerSpeed_min
15,SteerSpeed_peaks
16,SteerSpeed_rms
17,SteerSpeed_acc_peaks
18,SteerSpeed_jerk_peaks
19,speed_limit_exceeded_std
20,SpeedDif_std
21,SpeedDif_q95
22,SpeedDif_iqrange_5_95
23,SpeedDif_peaks
24,is_crossing_lane_left_min
25,is_crossing_lane_left_q5
26,is_crossing_lane_right_mean
27,is_crossing_lane_right_min
28,is_crossing_lane_right_q5
29,lane_crossing_min
30,Ttc_peaks
31,TtcOpp_peaks
32,TtcOpp_rms
33,acc_mean
34,acc_max
35,acc_q95
36,acc_peaks
37,acc_jerk_kurtosis
38,velocity_std
39,latvel_jerk_max
40,YawRate_acc_max
41,YawRate_acc_peaks
42,YawRate_jerk_min
43,YawRate_kurtosis
44,YawRate_peaks
