,selected_features
0,brake_mean
1,brake_min
2,brake_iqrange
3,brake_kurtosis
4,brake_acc_q95
5,brake_acc_peaks
6,brake_jerk_max
7,brake_jerk_kurtosis
8,gas_acc_mean
9,gas_acc_iqrange
10,gas_vel_rms
11,steer_max
12,SteerSpeed_min
13,SteerSpeed_q95
14,speed_limit_exceeded_min
15,speed_limit_exceeded_peaks
16,SpeedDif_q5
17,SpeedDif_peaks
18,SpeedDif_rms
19,is_crossing_lane_left_min
20,is_crossing_lane_left_q5
21,is_crossing_lane_left_kurtosis
22,is_crossing_lane_right_sum
23,TtcOpp_peaks
24,acc_mean
25,acc_jerk_mean
26,acc_jerk_peaks
27,latvel_jerk_q95
28,latvel_jerk_iqrange
29,latvel_jerk_iqrange_5_95
