,selected_features
0,brake_iqrange_5_95
1,brake_acc_max
2,brake_jerk_min
3,brake_jerk_kurtosis
4,brake_jerk_rms
5,gas_std
6,gas_acc_iqrange_5_95
7,gas_jerk_q5
8,gas_vel_mean
9,gas_vel_q95
10,gas_vel_skewness
11,steer_max
12,steer_peaks
13,SteerSpeed_iqrange_5_95
14,SteerSpeed_kurtosis
15,SteerSpeed_peaks
16,SteerSpeed_acc_min
17,SteerSpeed_jerk_std
18,SteerSpeed_jerk_peaks
19,speed_limit_exceeded_mean
20,SpeedDif_peaks
21,Dhw_peaks
22,is_crossing_lane_left_std
23,is_crossing_lane_left_kurtosis
24,is_crossing_lane_left_peaks
25,is_crossing_lane_right_std
26,is_crossing_lane_right_q5
27,is_crossing_lane_right_sum
28,lane_crossing_peaks
29,Ttc_rms
30,acc_mean
31,acc_iqrange_5_95
32,acc_jerk_iqrange
33,velocity_rms
34,latvel_acc_q95
35,latvel_jerk_min
36,latvel_jerk_peaks
37,YawRate_acc_q95
38,YawRate_acc_skewness
39,YawRate_acc_peaks
40,YawRate_acc_rms
41,YawRate_jerk_std
42,YawRate_jerk_q95
43,YawRate_jerk_skewness
44,YawRate_jerk_kurtosis
45,YawRate_jerk_peaks
46,YawRate_jerk_rms
47,YawRate_std
48,YawRate_iqrange
49,YawRate_peaks
