,selected_features
0,brake_min
1,brake_q5
2,brake_kurtosis
3,brake_acc_min
4,brake_acc_kurtosis
5,brake_jerk_mean
6,brake_jerk_iqrange
7,brake_vel_mean
8,brake_vel_iqrange
9,gas_mean
10,gas_min
11,gas_kurtosis
12,gas_rms
13,gas_acc_mean
14,gas_acc_iqrange
15,gas_jerk_mean
16,gas_jerk_iqrange
17,gas_vel_max
18,gas_vel_rms
19,steer_max
20,SteerSpeed_mean
21,SteerSpeed_kurtosis
22,SteerSpeed_acc_mean
23,SteerSpeed_jerk_mean
24,speed_limit_exceeded_min
25,speed_limit_exceeded_q5
26,SpeedDif_std
27,SpeedDif_min
28,SpeedDif_q5
29,SpeedDif_rms
30,acc_mean
31,acc_jerk_iqrange
32,acc_jerk_peaks
33,velocity_std
34,latvel_acc_mean
35,latvel_jerk_mean
36,latvel_jerk_q95
37,latvel_jerk_iqrange
38,latvel_jerk_iqrange_5_95
39,YawRate_acc_q5
40,YawRate_acc_iqrange
41,YawRate_acc_iqrange_5_95
42,YawRate_acc_skewness
43,YawRate_jerk_mean
44,YawRate_jerk_q5
45,YawRate_jerk_q95
46,YawRate_jerk_iqrange
47,YawRate_jerk_iqrange_5_95
48,YawRate_jerk_skewness
49,YawRate_std
