,selected_features
0,brake_q95
1,brake_iqrange_5_95
2,brake_skewness
3,brake_acc_max
4,brake_jerk_max
5,brake_jerk_kurtosis
6,brake_vel_max
7,gas_std
8,gas_jerk_q5
9,gas_vel_mean
10,gas_vel_q95
11,gas_vel_skewness
12,steer_max
13,steer_peaks
14,SteerSpeed_iqrange_5_95
15,SteerSpeed_kurtosis
16,SteerSpeed_peaks
17,SteerSpeed_jerk_std
18,SteerSpeed_jerk_peaks
19,Dhw_peaks
20,is_crossing_lane_left_kurtosis
21,is_crossing_lane_left_peaks
22,is_crossing_lane_left_rms
23,is_crossing_lane_right_sum
24,is_crossing_lane_right_rms
25,lane_crossing_peaks
26,lane_distance_left_edge_rms
27,Ttc_rms
28,acc_mean
29,acc_jerk_iqrange
30,velocity_skewness
31,velocity_rms
32,latvel_acc_q95
33,latvel_jerk_kurtosis
34,latvel_jerk_peaks
35,YawRate_acc_q95
36,YawRate_acc_peaks
37,YawRate_acc_rms
38,YawRate_jerk_std
39,YawRate_jerk_max
40,YawRate_jerk_skewness
41,YawRate_jerk_kurtosis
42,YawRate_jerk_peaks
43,YawRate_std
44,YawRate_max
45,YawRate_peaks
