,selected_features
0,brake_std
1,brake_min
2,brake_q5
3,brake_q95
4,brake_iqrange_5_95
5,brake_kurtosis
6,brake_acc_skewness
7,brake_vel_iqrange
8,gas_std
9,gas_max
10,gas_kurtosis
11,gas_acc_kurtosis
12,gas_jerk_mean
13,gas_vel_q95
14,steer_mean
15,steer_q95
16,SteerSpeed_min
17,SteerSpeed_q5
18,SteerSpeed_iqrange
19,SteerSpeed_iqrange_5_95
20,SteerSpeed_skewness
21,SteerSpeed_kurtosis
22,SteerSpeed_peaks
23,SteerSpeed_acc_mean
24,SteerSpeed_acc_std
25,SteerSpeed_acc_min
26,SteerSpeed_acc_q5
27,SteerSpeed_acc_iqrange_5_95
28,SteerSpeed_acc_rms
29,SteerSpeed_jerk_std
30,SteerSpeed_jerk_min
31,SteerSpeed_jerk_q95
32,SteerSpeed_jerk_iqrange_5_95
33,SteerSpeed_jerk_skewness
34,SteerSpeed_jerk_rms
35,acc_mean
36,acc_max
37,acc_q5
38,acc_q95
39,acc_iqrange
40,acc_iqrange_5_95
41,acc_jerk_mean
42,acc_jerk_iqrange
43,velocity_min
44,latvel_acc_mean
45,YawRate_acc_mean
46,YawRate_acc_iqrange
47,YawRate_jerk_iqrange
48,YawRate_peaks
