,selected_features
0,brake_std
1,brake_min
2,brake_q5
3,brake_q95
4,brake_iqrange_5_95
5,brake_vel_max
6,gas_std
7,gas_max
8,gas_jerk_mean
9,gas_jerk_q95
10,gas_vel_q95
11,gas_vel_skewness
12,gas_vel_kurtosis
13,steer_mean
14,steer_q95
15,SteerSpeed_min
16,SteerSpeed_iqrange_5_95
17,SteerSpeed_skewness
18,SteerSpeed_kurtosis
19,SteerSpeed_peaks
20,SteerSpeed_acc_mean
21,SteerSpeed_acc_std
22,SteerSpeed_acc_min
23,SteerSpeed_acc_max
24,SteerSpeed_acc_iqrange_5_95
25,SteerSpeed_acc_rms
26,SteerSpeed_jerk_mean
27,SteerSpeed_jerk_std
28,SteerSpeed_jerk_min
29,SteerSpeed_jerk_iqrange_5_95
30,SteerSpeed_jerk_rms
31,speed_limit_exceeded_iqrange_5_95
32,SpeedDif_iqrange
33,acc_mean
34,acc_q5
35,acc_q95
36,acc_iqrange
37,acc_iqrange_5_95
38,acc_jerk_mean
39,acc_jerk_q5
40,acc_jerk_iqrange
41,velocity_min
42,latvel_acc_mean
43,latvel_acc_iqrange
44,YawRate_jerk_iqrange
45,YawRate_peaks
