,selected_features
0,brake_std
1,brake_q95
2,brake_iqrange
3,brake_acc_iqrange_5_95
4,brake_acc_peaks
5,brake_jerk_q95
6,brake_jerk_peaks
7,brake_vel_max
8,brake_vel_q95
9,gas_q5
10,gas_acc_std
11,gas_acc_q5
12,gas_acc_rms
13,gas_jerk_mean
14,gas_vel_mean
15,gas_vel_std
16,gas_vel_iqrange
17,gas_vel_kurtosis
18,gas_vel_rms
19,steer_kurtosis
20,steer_peaks
21,SteerSpeed_std
22,SteerSpeed_min
23,SteerSpeed_peaks
24,SteerSpeed_rms
25,SteerSpeed_acc_peaks
26,SteerSpeed_jerk_q5
27,SteerSpeed_jerk_peaks
28,is_crossing_lane_left_min
29,is_crossing_lane_left_q5
30,is_crossing_lane_right_min
31,lane_crossing_min
32,Ttc_peaks
33,Ttc_rms
34,TtcOpp_peaks
35,TtcOpp_rms
36,acc_mean
37,acc_max
38,acc_jerk_std
39,acc_jerk_min
40,acc_jerk_kurtosis
41,velocity_iqrange
42,latvel_acc_mean
43,latvel_acc_min
44,latvel_acc_q95
45,latvel_jerk_min
46,latvel_jerk_q5
47,YawRate_acc_peaks
48,YawRate_peaks
