,selected_features
0,brake_q5
1,brake_acc_peaks
2,gas_min
3,gas_acc_mean
4,gas_vel_max
5,gas_vel_peaks
6,gas_vel_rms
7,steer_mean
8,steer_skewness
9,SteerSpeed_jerk_mean
10,SteerSpeed_jerk_min
11,SteerSpeed_jerk_skewness
12,Dhw_rms
13,is_crossing_lane_left_min
14,is_crossing_lane_left_q5
15,is_crossing_lane_left_iqrange
16,is_crossing_lane_right_rms
17,lane_distance_left_edge_rms
18,lane_distance_right_edge_peaks
19,Ttc_peaks
20,TtcOpp_peaks
21,acc_jerk_kurtosis
22,acc_jerk_peaks
23,latvel_acc_mean
24,latvel_acc_max
25,latvel_jerk_iqrange_5_95
26,latvel_jerk_skewness
27,YawRate_jerk_q95
28,YawRate_max
29,YawRate_q5
